Name,Type,Status,Lead org,Key people,Jurisdiction,Year,Summary,URL,Related readings,AI-generated policy summary
SB 53 (CA),State bill,Active,,,,2026,,,,
RAISE Act,Federal bill,Active,,,,2026,,,,
Alex Bores Congressional AI Framework,Campaign platform,Active,,,,2026,,,,
Trump AI Action Plan (Jan 2025),Executive order,Passed,,,,2025,,,,
Sacks federal preemption EO (Dec 2025),Executive order,Passed,,,,2025,,,,
EU AI Act,International framework,Passed,,,,2024,,,,
New Consensus AI platform,Report,Ongoing,,,,2026,,,,
Secure AI Project state bill tracker,Coalition,Ongoing,,,,2026,,,,
Biden AI Executive Order (Oct 2023),Executive order,Superseded,,,,2023,,,,
Blueprint for an AI Bill of Rights,Report,Superseded,,,,2022,,,,
"SB 1047 (CA, vetoed)",State bill,Failed,,,,2024,,,,
Colorado AI anti-discrimination law,State bill,Passed,,,,2024,,,,
"Dario Amodei ""Technology Adolescence""",Industry initiative,Ongoing,,,,2026,,,,