id,name,resource_category,resource_type,resource_author,resource_year,resource_url,notes_head,key_arg
652,Lex Fridman Podcast (AI episodes),AI Capabilities,Podcast,Lex Fridman,2024,https://lexfridman.com/podcast/,"A long-form interview podcast hosted by Lex Fridman featuring in-depth conversations with AI researchers, policymakers, and technologists about artificial intelligence and its societal implications.","Long-form interviews with AI leaders including Altman, Zuckerberg, Musk, Hassabis on capabilities and safety."
668,Crisp and Fuzzy Tasks,AI Capabilities,Essay,Dwarkesh Patel,2025,https://www.dwarkeshpatel.com/p/crisp-and-fuzzy,"Essay distinguishing between ''crisp'' tasks (well-defined, easily measurable) and ''fuzzy'' tasks (ambiguous, judgment-dependent) in the context of AI capabilities and automation.","Distinguishes between tasks AI excels at (crisp, well-defined) vs tasks where human judgment remains essential (fuzzy, context-dependent)."
1806,Scaling Laws for Neural Language Models,AI Capabilities,Academic Paper,"Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, Alec Radford, Jeffrey Wu, Dario Amodei (OpenAI)",2020,https://arxiv.org/abs/2001.08361,"2020 OpenAI paper by Jared Kaplan, Sam McCandlish, and team (many of whom later co-founded Anthropic) that established the empirical scaling-laws framework. A foundational reference for policy debates about compute governance, export controls, and the inevitability/contingency of capability gains. Widely cited alongside the Chinchilla paper (Hoffmann et al. 2022).","Empirically demonstrates that language model performance follows smooth power-law relationships across model size, dataset size, and training compute. Motivated the large-scale investment in ever-larger models (GPT-3 and successors) by showing predictable capability gains from compute scaling."
545,The AI Index Report 2024,AI Governance,Report,Stanford HAI,2024,https://aiindex.stanford.edu,TEST DATA — Most-cited annual report on AI ecosystem trends,"Comprehensive annual benchmarking of AI progress, investment, policy, and public opinion"
546,Why AI Will Save the World,AI Governance,Essay,Marc Andreessen,2023,https://a16z.com/ai-will-save-the-world,"Essay by Marc Andreessen (June 2023) arguing that AI will be a profoundly positive force for humanity, countering doomer narratives with a case for accelerating AI development.",AI risk is overstated by incumbents seeking regulatory moats; AI will generate enormous prosperity
548,Governing AI: A Blueprint for the Future,AI Governance,Report,RAND Corporation,2024,https://rand.org/ai-governance,TEST DATA — Influential policy blueprint cited by Senate AI Working Group,Proposes tiered governance framework based on AI capability levels
550,NIST AI Risk Management Framework,AI Governance,Report,NIST,2023,https://nist.gov/ai-rmf,TEST DATA — De facto standard for AI risk management in US industry,Voluntary framework for managing AI risks throughout the AI lifecycle
594,SB 53 (CA),AI Governance,Report,,2026,,"California Senate Bill 53, an AI safety bill requiring developers of frontier AI models to implement shutdown capabilities and safety protocols for powerful AI systems.",
608,RAISE Act,AI Governance,Report,,2026,,"The New York Responsible AI Safety and Education (RAISE) Act, signed by Governor Hochul in December 2025, requiring frontier AI developers to publish and comply with safety and security governance plans.",
616,A Guide to the AI Tribes,AI Governance,Substack/Newsletter,Michel Justen,2026,,"Essay by Michel Justen (January 2026) mapping the major ideological factions in AI policy debate — their origins, assumptions, alliances, and conflicts over how AI should be developed and governed.",
617,The Left is Missing Out on AI,AI Governance,Substack/Newsletter,Dan Kagan-Kans,2026,,"Essay by Dan Kagan-Kans (February 2026) arguing that the political left has ceded the AI conversation to the right by dismissing AI as overhyped, risking inability to shape one of the most consequential technological shifts in history.",
618,AI 2027 scenario,AI Governance,Report,AI 2027 team,2025,,"Scenario and forecast paper by Daniel Kokotajlo et al. projecting a plausible timeline for transformative AI development through 2027, exploring rapid capability gains and their implications for safety and governance.",
619,AI as Normal Technology,AI Governance,Academic Paper,Narayanan & Kapoor,2025,,Essay by Arvind Narayanan and Sayash Kapoor arguing that AI should be understood as a transformative but ''normal'' technology — like electricity or the internet — rather than as an unprecedented existential force requiring extraordinary governance.,
620,Dignity in a Digital Age,AI Governance,Book,Ro Khanna,2022,,"Book by Rep. Ro Khanna (2022) advocating for policies that bring technology jobs and digital infrastructure to overlooked communities across America, bridging the gap between Silicon Valley and the rest of the country.",
621,The Entrepreneurial State,AI Governance,Book,Mariana Mazzucato,2013,,"Book by Mariana Mazzucato (2013) challenging the myth that innovation comes only from the private sector, arguing that government investment has been the driving force behind transformative technologies including the internet and smartphones.",
622,Power and Progress,AI Governance,Book,Acemoglu & Johnson,2023,,"Book by Daron Acemoglu and Simon Johnson (2023) examining how technological progress has historically benefited elites unless countered by deliberate institutional choices, and arguing for redirecting AI toward broadly shared prosperity.",
623,Recoding America,AI Governance,Book,Jennifer Pahlka,2023,,Book by Jennifer Pahlka (2023) diagnosing why government technology systems fail and outlining how modernizing digital infrastructure is essential for effective public services and democratic accountability.,
624,Governing the Commons,AI Governance,Book,Elinor Ostrom,1990,,Seminal book by Elinor Ostrom (1990) demonstrating that communities can successfully manage shared resources through self-governance without requiring privatization or top-down state control.,
626,Techno-Optimist Manifesto,AI Governance,Substack/Newsletter,Marc Andreessen,2023,,"Marc Andreessen''s manifesto (October 2023) published on the a16z website, making an expansive case for technological optimism and arguing against precautionary regulation of emerging technologies including AI.",
627,The Internet Con,AI Governance,Book,Cory Doctorow,2023,,"Book by Cory Doctorow (2023) arguing that Big Tech companies maintain dominance through lock-in and switching costs, and proposing interoperability mandates as the key to breaking their grip on users and markets.",
628,Chip War,AI Governance,Book,Chris Miller,2022,,Book by Chris Miller (2022) tracing the geopolitical history of the global semiconductor industry and explaining how control over chip manufacturing has become a critical factor in international power dynamics and AI competition.,
629,Secure AI Project bills tracker,AI Governance,Report,Secure AI Project,2026,,"Online tracking tool maintained by the Secure AI Project that monitors and catalogs AI-related legislation at the state and federal level, providing real-time status updates on bills and regulatory proposals.",
630,"Dean Ball ""How I Approach AI Policy""",AI Governance,Substack/Newsletter,Dean Ball,2025,,"Blog post by Dean Ball outlining his analytical framework for evaluating AI policy proposals, emphasizing pragmatic governance approaches that balance innovation with risk mitigation.",
631,Digitalist Papers Vol. 2,AI Governance,Report,Sandy Pentland et al.,2025,,"Volume 2 of The Digitalist Papers, published by the Stanford Digital Economy Lab (December 2025), a collection of 21 essays examining the economic implications of transformative AI, including proposals for universal basic capital and adaptive safety nets.",
632,Alex Bores Congressional AI Framework,AI Governance,Report,,2026,,"Congressional AI policy framework released by New York Assemblyman Alex Bores (February 2026) as part of his campaign for Congress, proposing an eight-point national plan covering kids'' safety, data privacy, deepfakes, workforce impacts, and frontier AI safety testing.",
633,Trump AI Action Plan (Jan 2025),AI Governance,Report,,2025,,"Executive order signed by President Trump in January 2025 establishing the administration''s AI policy direction, emphasizing deregulation and American competitiveness in AI development.",
634,Sacks federal preemption EO (Dec 2025),AI Governance,Report,,2025,,"Executive order orchestrated by AI czar David Sacks (December 2025) asserting federal preemption over state-level AI regulations, aiming to create a unified national approach and prevent a patchwork of state AI laws.",
635,EU AI Act,AI Governance,Report,,2024,,"The European Union''s comprehensive AI regulation framework, entered into force in August 2024, establishing a risk-based classification system for AI applications with tiered requirements ranging from transparency obligations to outright bans on certain uses.",
636,New Consensus AI platform,AI Governance,Report,,2026,,New Consensus is a progressive economic think tank whose AI platform advocates for public investment and democratic governance of artificial intelligence.,
637,Secure AI Project state bill tracker,AI Governance,Report,,2026,,A tracking tool maintained by the Secure AI Project that monitors and catalogs state-level AI legislation across the United States.,
639,Blueprint for an AI Bill of Rights,AI Governance,Report,,2022,,"Published by the White House Office of Science and Technology Policy in October 2022, this non-binding framework outlines five principles to protect the public from harms caused by automated systems.",
640,"SB 1047 (CA, vetoed)",AI Governance,Report,,2024,,"California Senate Bill 1047, authored by Senator Scott Wiener, would have imposed safety requirements on developers of frontier AI models; it was vetoed by Governor Newsom in September 2024.",
641,Colorado AI anti-discrimination law,AI Governance,Report,,2024,,"Colorado SB 24-205, signed into law in 2024, is the first U.S. state law specifically regulating algorithmic discrimination in high-risk AI decision-making systems.",
648,Platformer,AI Governance,Substack/Newsletter,Casey Newton,2024,https://www.platformer.news/,"A technology newsletter by journalist Casey Newton, published on Substack, covering the intersection of social media platforms, technology policy, and the tech industry.","Platformer covers technology policy and corporate accountability, including AI-related developments in content moderation and platform governance."
649,AI Snake Oil,AI Governance,Substack/Newsletter,"Arvind Narayanan, Sayash Kapoor",2024,https://www.aisnakeoil.com/,A book by Princeton researchers Arvind Narayanan and Sayash Kapoor critically examining exaggerated claims about AI capabilities and the harms caused by deploying unreliable AI systems.,"Critical perspective on AI hype, distinguishing genuine capabilities from marketing claims."
650,"Executive Order on Safe, Secure, and Trustworthy AI",AI Governance,Report,White House,2023,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/10/30/executive-order-on-the-safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence/,"The formal title of President Biden''s October 2023 Executive Order (EO 14110) on artificial intelligence, establishing federal standards for AI safety, security, and trustworthiness.","Biden EO establishing safety standards, requiring reporting of large training runs, and directing agency action on AI."
655,The Adolescence of Technology,AI Governance,Essay,Dario Amodei,2025,https://darioamodei.com/technology-adolescence,Dario Amodei''s essay conceptualizing the current era of AI development as a ''technological adolescence'' — a volatile transitional period requiring deliberate governance and safety measures.,AI development is in a critical adolescent phase where we must choose between responsible maturation and reckless acceleration.
657,Trump Attempts to Preempt State AI Regulation Through Executive Order,AI Governance,Report,Ropes & Gray LLP,2025,https://www.ropesgray.com/en/insights/alerts/2025/12/trump-attempts-to-preempt-state-ai-regulation-through-executive-order,A news article reporting on President Trump''s executive order attempting to preempt state-level AI regulations in favor of a unified federal approach to AI governance.,President Trump's executive order preempts state AI regulations by establishing federal agency actions and framework for future legislation.
658,Trump signs executive order blocking states from enforcing their own regulations around AI | CNN Business,AI Governance,Report,CNN Business,2025,https://us.cnn.com/2025/12/11/tech/ai-trump-states-executive-order,"A CNN Business article covering President Trump''s executive order aimed at blocking states from enforcing their own AI regulations, centralizing AI policy at the federal level.",President Trump signed an executive order establishing federal preemption of state AI regulations to create a unified national framework for AI governance.
659,Open Problems in Technical AI Governance,AI Governance,Report,Centre for the Governance of AI,2024,https://www.governance.ai/research-paper/open-problems-in-technical-ai-governance,"A research paper identifying and analyzing unresolved technical challenges in AI governance, including issues of compliance verification, auditing, and enforcement of AI regulations.","Identifies key unsolved technical problems at the intersection of AI capabilities and governance, providing a research agenda for the field."
660,A Collection of AI Governance Research Ideas,AI Governance,Report,GovAI,2024,https://www.governance.ai/research-paper/a-collection-of-ai-governance-research-ideas,"Research paper compiling a collection of open research questions and ideas in the field of AI governance, intended to guide future scholarship and policy work.",Curated database of research questions and project ideas for advancing AI governance.
661,The Federal AI Preemption Push: President Trump signs the Executive Order titled “Ensuring a National Policy Framework for Artificial Intelligence”,AI Governance,Report,Comm Law Group,2025,https://commlawgroup.com/2025/the-federal-ai-preemption-push-president-trump-signs-the-executive-order-titled-ensuring-a-national-policy-framework-for-artificial-intelligence/,"Legal analysis article examining President Trump''s executive order on federal AI preemption, which aims to establish a unified national AI policy framework by overriding state-level AI regulations.",Trump's executive order on a national AI policy framework asserts federal dominance over AI regulation by preempting state laws deemed inconsistent with national policy objectives.
667,Common Ground between AI 2027 & AI as Normal Technology,AI Governance,Essay,AI Futures Project,2025,https://aifutures.org/common-ground,"Essay exploring the points of agreement between the AI 2027 scenario (which envisions rapid, transformative AI progress) and the ''AI as Normal Technology'' perspective (which views AI as an incremental, manageable advance).","Identifies shared assumptions between the accelerationist and cautious AI narratives, arguing the two camps agree on more than they think."
670,Computing Power and the Governance of Artificial Intelligence,AI Governance,Academic Paper,Lennart Heim et al.,2024,https://arxiv.org/abs/2402.08797,"Research paper analyzing the role of computing power as a governance lever for artificial intelligence, exploring how compute resources can be monitored, allocated, and regulated to shape AI development outcomes.","Compute is a key lever for AI governance because it is detectable, excludable, and quantifiable, making it uniquely suitable for regulation."
673,"Transcript: US Senate Subcommittee Hearing on ""Protecting Consumers from Artificial Intelligence Enabled Fraud and Scams"" | TechPolicy.Press",AI Governance,Report,US Senate Subcommittee,2024,https://techpolicy.press/transcript-us-senate-subcommittee-hearing-on-protecting-consumers-from-artificial-intelligence-enabled-fraud-and-scams,"Transcript of a U.S. Senate subcommittee hearing focused on protecting consumers from AI-enabled fraud and scams, published by TechPolicy.Press.","Congressional testimony addressing consumer protection from AI-enabled fraud through increased platform accountability, content authentication, and consumer education."
674,"White House Issues ""One Rule"" Executive Order To Curb State AI Regulation - New Technology - United States",AI Governance,News Article,White House,2025,https://webiis08.mondaq.com/unitedstates/new-technology/1719974/white-house-issues-one-rule-executive-order-to-curb-state-ai-regulation,Legal analysis article (likely from Mondaq) examining the White House''s ''one rule'' executive order aimed at curbing state-level AI regulation through federal preemption. Covers similar ground to entities 661 and 681.,A White House executive order establishing a national AI regulation standard to preempt conflicting state laws and create uniform federal policy.
679,Some Talent Needs in AI Governance,AI Governance,Essay,Luke Muehlhauser,2023,https://forum.effectivealtruism.org/posts/some-talent-needs-in-ai-governance,"Essay identifying key talent gaps and workforce needs in the AI governance field, discussing what skills and roles are most urgently needed to support effective AI policy and oversight.","Identifies critical talent gaps in AI governance including technical policy expertise, international coordination, and compute governance."
681,Toward A National AI Framework: The Federal Strategy To Override State Regulation - New Technology - United States,AI Governance,Report,Mondaq,2025,https://dev.mondaq.com/unitedstates/new-technology/1722598/toward-a-national-ai-framework-the-federal-strategy-to-override-state-regulation,"Legal analysis article examining the federal strategy to establish a national AI framework that would override state-level regulation, covering the same Trump AI preemption executive order discussed in entities 661 and 674.",The Trump Administration's Executive Order seeks to establish a federal AI framework that prioritizes national competitiveness while preempting state-level AI regulations.
682,The Annual AI Governance Report 2025,AI Governance,Report,International Telecommunication Union (ITU),2025,https://www.itu.int/epublications/ar/publication/the-annual-ai-governance-report-2025-steering-the-future-of-ai/en,"Comprehensive annual report surveying the AI governance landscape in 2025, covering policy developments, institutional activities, and emerging trends in AI regulation and oversight worldwide.","Coordinated international efforts, standards, and ethical frameworks are essential for managing AI's global impact and ensuring responsible governance."
683,The Annual AI Governance Report 2025: Steering the Future of AI,AI Governance,Report,World Economic Forum,2025,https://s41721.pcdn.co/wp-content/uploads/2021/10/2502019_AI-Governance-Dialogue-Steering-the-Future-of-AI-2025.pdf,"Annual report examining the state of AI governance in 2025, covering policy frameworks, regulatory developments, and strategies for steering AI''s future trajectory.","Effective AI governance requires global, multi-stakeholder collaboration to develop inclusive and ethical frameworks that maximize AI's benefits while mitigating risks."
684,AI Governance Profession Report 2025,AI Governance,Report,International Association of Privacy Professionals (IAPP),2025,https://iapp.org/resources/article/ai-governance-profession-report,"Report surveying the AI governance profession landscape in 2025, including roles, skills, and career trends for practitioners working in AI policy and oversight.",Organizations are increasingly establishing AI governance programs to ensure responsible and compliant AI deployment across their operations.
692,"Transcript: US House Subcommittee Hosts Hearing on ""AI ...",AI Governance,Report,US House Subcommittee,2025,https://techpolicy.press/transcript-us-house-subcommittee-hosts-hearing-on-ai-regulation-and-the-future-of-us-leadership,"Transcript of a U.S. House subcommittee hearing examining artificial intelligence policy, published by TechPolicy.Press.","Congressional debate on AI regulation reflected partisan divisions, with Democrats prioritizing consumer protections while Republicans opposed proposed moratoriums on AI development."
693,Adam Thierer Testimony before JEC on AI & Economic Opportunity,AI Governance,Report,Adam Thierer,2024,https://www.jec.senate.gov/public/_cache/files/1828c7b6-8372-4118-8e2e-962ed9986343/thierer---testimony-for-the-jec-hearing-on-ai-and-economic-growth-6-4-2024---final.pdf,Written testimony by Adam Thierer before the Joint Economic Committee on the economic opportunities presented by AI and the policy conditions needed to realize them.,"AI presents substantial opportunities for economic growth and productivity gains across sectors, though realizing these benefits requires appropriate policy frameworks that avoid over-regulation."
696,"The Federal AI Preemption Push: President Trump Signs The Executive Order Titled ""Ensuring A National Policy Framework For Artificial Intelligence"" - New Technology - United States",AI Governance,Report,Mondaq,2025,https://www.mondaq.com/unitedstates/new-technology/1720220/the-federal-ai-preemption-push-president-trump-signs-the-executive-order-titled-ensuring-a-national-policy-framework-for-artificial-intelligence,"Legal analysis published on Mondaq examining President Trump''s executive order on ensuring a national AI policy framework, focusing on its implications for federal preemption of state AI regulations.",President Trump signed an executive order establishing a national AI policy framework designed to preempt state-level AI regulations.
702,Blackburn Unveils National Policy Framework for Artificial Intelligence - U.S. S...,AI Governance,Report,Marsha Blackburn,2025,https://www.blackburn.senate.gov/2025/12/technology/blackburn-unveils-national-policy-framework-for-artificial-intelligence,"Announcement by Senator Marsha Blackburn of a national policy framework for artificial intelligence, outlining proposed federal AI governance principles.","Senator Blackburn's legislative proposal for the TRUMP AMERICA AI Act, establishing a unified federal framework for AI policy with protections for children and consumers."
544,Situational Awareness,AI Safety,Essay,Leopold Aschenbrenner,2024,https://situational-awareness.ai,TEST DATA — Viral essay by former OpenAI researcher; influential in policy circles,AGI is imminent; the US must win the race against China or face catastrophic consequences
549,Statement on AI Risk,AI Safety,Report,Center for AI Safety (CAIS),2023,https://safe.ai/statement,TEST DATA — One-sentence statement signed by hundreds of AI researchers and public figures,Mitigating the risk of extinction from AI should be a global priority alongside pandemics and nuclear war
552,The Alignment Problem,AI Safety,Book,Brian Christian,2020,https://brianchristian.org/the-alignment-problem,TEST DATA — Accessible introduction to alignment for non-technical readers,"Comprehensive overview of the AI alignment challenge, from fairness to existential risk"
553,AI Frontiers,AI Safety,Substack/Newsletter,,,https://www.ai-frontiers.org/,From AISafety.com map. Platform from the Center for AI Safety (CAIS) posting articles written by experts from a wide range of fields discussing the impacts of AI.,
554,AI Policy Bulletin,AI Safety,Substack/Newsletter,,,https://www.aipolicybulletin.org/,"From AISafety.com map. Publishes policy-relevant perspectives on frontier AI governance, including research summaries, opinions, interviews, and explainers.",
555,AI Prospects,AI Safety,Substack/Newsletter,,,https://aiprospects.substack.com/,"From AISafety.com map. Blog by Eric Drexler on AI prospects and their surprising implications for technology, economics, environmental concerns, and military affairs.",
556,Astral Codex Ten,AI Safety,Substack/Newsletter,,,https://www.astralcodexten.com/,"From AISafety.com map. Blog covering many topics, including reasoning, science, psychiatry, medicine, ethics, genetics, economics, politics, and AI. Often book summaries and commentary on AI safety.",
557,Bounded Regret,AI Safety,Substack/Newsletter,,,https://bounded-regret.ghost.io/,"From AISafety.com map. Blog on AI safety by Jacob Steinhardt, a UC Berkeley statistics professor, analysing risks, forecasting future breakthroughs, and discussing alignment strategies.",
558,ChinaTalk,AI Safety,Substack/Newsletter,,,https://www.chinatalk.media/,"From AISafety.com map. Deep, thoughtful coverage on China, technology, and US-China relations – written by Jordan Schneider.",
559,Cold Takes,AI Safety,Substack/Newsletter,,,https://www.cold-takes.com/,"From AISafety.com map. Blog about transformative AI, futurism, research, ethics, philanthropy etc. by Holden Karnofsky. Includes the ""Most Important Century"" post series. Last posted in 2024.",
560,Daniel Paleka's Newsletter,AI Safety,Substack/Newsletter,,,https://newsletter.danielpaleka.com/,From AISafety.com map. Blog by AI safety researcher Daniel Paleka curating and succinctly analyzing the latest research and news in AI safety. Posts about every two months.,
561,DeepMind Safety Research,AI Safety,Substack/Newsletter,,,https://deepmindsafetyresearch.medium.com/,From AISafety.com map. Blog from the Google DeepMind safety team discussing research ideas about building AI safely.,
562,Don't Worry about the Vase,AI Safety,Substack/Newsletter,,,https://thezvi.wordpress.com/,"From AISafety.com map. Blog by Zvi Mowshowitz on various topics, including AI, offering detailed analysis, personal insights, and a rationalist perspective. Posts very frequently.",
563,Miles's Substack,AI Safety,Substack/Newsletter,,,https://milesbrundage.substack.com/,From AISafety.com map. Blog from ex-OpenAI (now independent) AI policy researcher Miles Brundage on the rapid evolution of AI and the urgent need for thoughtful governance.,
564,Obsolete,AI Safety,Substack/Newsletter,,,https://www.obsolete.pub/,"From AISafety.com map. Reporting and analysis on capitalism, great power competition, and the race to build superintelligence by freelance journalist Garrison Lovely.",
565,Paul Christiano's Blog,AI Safety,Substack/Newsletter,,,https://ai-alignment.com/,From AISafety.com map. Blog on aligning prosaic AI by one of the leading AI safety researchers. No longer active but the archive is high quality.,
566,Planned Obsolescence,AI Safety,Substack/Newsletter,,,https://www.planned-obsolescence.org/,"From AISafety.com map. Substack by Ajeya Cotra, researcher at METR, covering AI capabilities forecasting, AI agent benchmarks, timelines for automating AI R&D, and implications for AI safety.",
567,Rising Tide,AI Safety,Substack/Newsletter,,,https://helentoner.substack.com/,From AISafety.com map. Blog by Helen Toner (director of CSET and former OpenAI board member) offering analysis on navigating the transition to advanced AI systems.,
568,The Building Capacity Blog,AI Safety,Substack/Newsletter,,,https://fieldbuilding.substack.com/,"From AISafety.com map. Blog about building the fields of AI safety and Effective Altruism, discussing big-picture strategy and sharing personal experience from working in the space.",
569,The Power Law,AI Safety,Substack/Newsletter,,,https://peterwildeford.substack.com/,"From AISafety.com map. Top forecaster Peter Wildeford forecasts the future and discusses AI, national security, innovation, emerging technology, and the powers – real and metaphorical – that shape the world.",
570,Threading the Needle,AI Safety,Substack/Newsletter,,,https://writing.antonleicht.me/,"From AISafety.com map. Publication by Anton Leicht on the political economy of AI progress, featuring weekly posts on how institutions and political incentives interface with fast technological change.",
571,Victoria Krakovna's Blog,AI Safety,Substack/Newsletter,,,https://vkrakovna.wordpress.com/blog/,"From AISafety.com map. Blog by an AI safety researcher at Google DeepMind, covering alignment research, rationality, and personal productivity insights. Last AI post was 2023.",
572,AISafety.com: Media channels,AI Safety,Substack/Newsletter,,,https://www.aisafety.com/media-channels,From AISafety.com map. The AI safety space is changing rapidly. This directory of key information sources can help you keep up to date with the latest developments.,
573,AI Safety at the Frontier,AI Safety,Substack/Newsletter,,,https://aisafetyfrontier.substack.com/,"From AISafety.com map. Johannes Gasteiger, an alignment researcher at Anthropic, selects and summarizes the most interesting AI safety papers each month.",
574,AI Safety Events & Training,AI Safety,Substack/Newsletter,,,http://aisafetyeventsandtraining.substack.com/,"From AISafety.com map. Weekly newsletter listing newly-announced AI safety events and training programs, both online and in-person.",
