id,name,resource_category,resource_type,resource_author,resource_year,resource_url,notes_head,key_arg
575,AI Safety Funding,AI Safety,Substack/Newsletter,,,https://aisafetyfunding.substack.com/,From AISafety.com map. Newsletter listing newly announced funding opportunities for individuals and organizations working to reduce AI existential risk.,
576,AI Safety in China,AI Safety,Substack/Newsletter,,,https://aisafetychina.substack.com/,"From AISafety.com map. Newsletter from Concordia AI, a Beijing-based social enterprise, providing updates on AI safety developments in China.",
577,AI Safety Newsletter,AI Safety,Substack/Newsletter,,,https://newsletter.safe.ai/,From AISafety.com map. Newsletter published every few weeks discussing recent developments in AI and AI safety. No technical background required.,
578,Can We Secure AI With Formal Methods?,AI Safety,Substack/Newsletter,,,https://newsletter.for-all.dev/,"From AISafety.com map. Current-events newsletter for keeping up to date with FMxAI (formal methods and AI) with a gear toward safety, doing a mix of shallow technical reviews of papers and movement updates.",
579,Import AI,AI Safety,Substack/Newsletter,,,https://jack-clark.net/,"From AISafety.com map. Weekly updates on the latest developments in AI research (including governance) written by Jack Clark, co-founder of Anthropic.",
580,ML Safety Newsletter,AI Safety,Substack/Newsletter,,,https://newsletter.mlsafety.org/,"From AISafety.com map. Infrequent newsletter aiming to inform readers about recent ML safety research, focussing on areas like adversarial robustness, interpretability, and control.",
581,Transformer,AI Safety,Substack/Newsletter,,,https://www.transformernews.ai/,"From AISafety.com map. Aiming to help decision-makers understand what’s happening in AI and why it matters – through news roundups, explainers, features, and opinion pieces.",
582,"80,000 Hours Podcast",AI Safety,Podcast,,,https://80000hours.org/podcast/,From AISafety.com map. In-depth conversations about the world’s most pressing problems – including AI safety – and what you can do to help solve them.,
583,AI X-risk Research Podcast,AI Safety,Podcast,,,https://axrp.net/,"From AISafety.com map. Interviews with (mostly technical) AI safety researchers about their research, aiming to get a sense of why it was written and how it might reduce existential risk from AI.",
584,Dwarkesh Podcast,AI Safety,Podcast,,,https://www.dwarkesh.com/,"From AISafety.com map. Well-researched interviews with influential intellectuals going in-depth on AI and technology, and their broader societal implications.",
585,Future of Life Institute Podcast,AI Safety,Podcast,,,https://futureoflife.org/podcast/?_category_browser=ai,"From AISafety.com map. Interviews with existential risk researchers, policy experts, philosophers, and a range of other influential thinkers.",
586,The AI Policy Podcast,AI Safety,Podcast,,,https://www.csis.org/podcasts/ai-policy-podcast,"From AISafety.com map. Podcast from the Center for Strategic & International Studies (CSIS) discussing AI regulation, innovation, national security, and geopolitics.",
587,The Cognitive Revolution,AI Safety,Podcast,,,https://www.cognitiverevolution.ai/,"From AISafety.com map. Biweekly podcast where host Nathan Labenz interviews AI innovators and thinkers, discussing the transformative impact AI will likely have in the near future.",
588,AI Alignment Slack,AI Safety,Website,,,https://join.slack.com/t/ai-alignment/shared_invite/zt-3oytsoq2q-nzMwWJqs5fl4H~VXA6FQTA,"From AISafety.com map. The biggest real-time online community of people interested in AI safety, with channels ranging from general topics to specific fields to local groups.",
589,AI Digest,AI Safety,Website,,,https://theaidigest.org/,"From AISafety.com map. Concise visual explainers of important trends in AI, grounded in concrete examples of what AI models can do right now.",
590,AI Risk Explorer,AI Safety,Website,,,https://www.airiskexplorer.com/,"From AISafety.com map. Online platform monitoring the emergence of large-scale AI risks, featuring curated information on evaluations, incidents, and policies.",
591,AI Risk: Why Care?,AI Safety,Website,,,https://whycare.aisgf.us/,From AISafety.com map. AI safety chatbot that excels at addressing hard questions and counterarguments about existential risk.,
592,AI Safety for Fleshy Humans,AI Safety,Website,,,https://aisafety.dance/,"From AISafety.com map. Accessible, comic-illustrated series describing the history of AI capabilities, the alignment problem, and potential solutions.",
593,AI Safety Map Anki Deck,AI Safety,Website,,,https://ankiweb.net/shared/info/1103716634,"From AISafety.com map. Flashcards for helping to learn and memorize the main organizations, projects, and programs currently operating in the AI safety space.",
595,AI Safety Support,AI Safety,Website,,,https://www.aisafetysupport.org/,From AISafety.com map. Field-building organization now chiefly serving as the home for an extensive resources list called Lots of Links.,
596,AI Watch,AI Safety,Website,,,https://aiwatch.issarice.com/,"From AISafety.com map. Database tracking people, organizations, and “products” in the AI safety community, serving as a reference for positions, affiliations, and related data.",
597,AISafety.com,AI Safety,Website,,,https://www.aisafety.com/,"From AISafety.com map. Hub for key resources for the AI safety community, including directories of courses, jobs, upcoming events and training programs etc. – and this map!",
598,Effective Altruism Domains,AI Safety,Website,,,https://ea.domains/,"From AISafety.com map. Directory of domains freely available to be used for high-impact projects, including those contributing to AI safety.",
599,Effective Altruism Forum,AI Safety,Website,,,https://forum.effectivealtruism.org/topics/ai-safety,"From AISafety.com map. Forum on doing good as effectively as possible, including AI safety. Also has a podcast featuring text-to-speech narrations of top posts.",
600,LessWrong,AI Safety,Website,,,https://www.lesswrong.com/,"From AISafety.com map. Online forum dedicated to improving human reasoning, containing a lot of AI safety content. Also has a podcast featuring text-to-speech narrations of top posts.",
601,MIT AI Risk Repository,AI Safety,Website,,,https://airisk.mit.edu/,"From AISafety.com map. Comprehensive living database of over 1600 AI risks, categorized by their cause and risk domain.",
602,RiesgosIA.org,AI Safety,Website,,,https://riesgosia.org/,"From AISafety.com map. Spanish-language website featuring AI safety educational tools, including a daily‑updated monitor of AI safety research papers.",
603,AI Explained,AI Safety,Video,,,https://www.youtube.com/@aiexplained-official,"From AISafety.com map. YouTuber discussing the latest AI developments as they happen, offering explanations and analysis of important research and events.",
604,AI In Context,AI Safety,Video,,,https://www.youtube.com/@AI_In_Context,"From AISafety.com map. Channel produced by 80,000 Hours presenting thoroughly researched, cinematic stories about what's happening in AI and where the trends are taking us.",
605,AI Safety Videos,AI Safety,Video,,,https://aisafety.info/questions/2222,"From AISafety.com map. Comprehensive directory of AI safety video content, from beginner-friendly introductions to in-depth expert talks.",
606,Doom Debates,AI Safety,Video,,,https://www.youtube.com/@DoomDebates,"From AISafety.com map. Channel hosted by Liron Shapira featuring in-depth debates, explainers, and live Q&A sessions, focused on AI existential risk and other implications of superintelligence.",
607,Dr Waku,AI Safety,Video,,,https://www.youtube.com/@DrWaku/,"From AISafety.com map. Computer science PhD and AI research scientist talking about how AI will likely affect the world, along with expert interviews.",
609,FAR․AI YouTube channel,AI Safety,Video,,,https://www.youtube.com/@FARAIResearch,"From AISafety.com map. Talks given by AI safety experts at various events, covering topics ranging from mechanistic interpretability to evals and governance.",
610,Lethal Intelligence,AI Safety,Video,,,https://www.youtube.com/@lethal-intelligence,From AISafety.com map. YouTube channel raising awareness about the lethal dangers of AGI through explainer videos and podcasts.,
611,Rational Animations,AI Safety,Video,,,https://www.youtube.com/@RationalAnimations,"From AISafety.com map. Animated videos aiming to foster good thinking, promote altruistic causes, and help ensure humanity's future goes well – particularly regarding AI safety.",
612,Robert Miles,AI Safety,Video,,,https://www.youtube.com/@RobertMilesAI,"From AISafety.com map. The most popular AI safety education channel, explaining technical alignment concepts to general audiences through accessible explainer videos.",
613,Siliconversations,AI Safety,Video,,,https://www.youtube.com/@Siliconversations,From AISafety.com map. YouTube channel explaining (mostly) AI safety concepts through entertaining stickman videos.,
614,Species,AI Safety,Video,,,https://www.youtube.com/@AISpecies,From AISafety.com map. Channel run by Drew Spartz educating a general audience about AI risk through high-effort mini-documentaries.,
615,The AI Risk Network,AI Safety,Video,,,https://www.youtube.com/@TheAIRiskNetwork,"From AISafety.com map. YouTube channel run by John Sherman, a Peabody and Emmy Award-winning former investigative journalist, aiming to make AI risk a kitchen table conversation.",
643,Human Compatible,AI Safety,Book,Stuart Russell,2019,https://humancompatible.ai,TEST DATA — Foundational text on AI alignment for general audience,Current AI paradigm of fixed objectives is fundamentally dangerous; need provably beneficial AI
644,The Precipice: Existential Risk and the Future of Humanity,AI Safety,Book,Toby Ord,2020,https://theprecipice.com/,"A 2020 book by philosopher Toby Ord arguing that safeguarding humanity''s long-term future from existential risks, including advanced AI, is among the most important moral priorities of our time.","Argues this century is a critical period for existential risk, with unaligned AI as the greatest threat."
645,The Urgency of Interpretability,AI Safety,Essay,Dario Amodei,2024,https://www.anthropic.com/research/the-urgency-of-interpretability,A paper or talk making the case that understanding the internal workings of AI models (interpretability) is an urgent priority for ensuring safe and trustworthy AI systems.,Understanding how AI models work internally is critical for safety and must be prioritized alongside capability development.
646,On the Responsible Scaling of AI,AI Safety,Report,Anthropic,2023,https://www.anthropic.com/index/anthropics-responsible-scaling-policy,"Anthropic''s policy paper outlining its Responsible Scaling Policy, a framework for incrementally deploying more capable AI models while managing catastrophic risks through safety evaluations.","Framework for when and how to scale AI safely, with commitments to pause if safety evaluations show dangerous capabilities."
647,"Superintelligence: Paths, Dangers, Strategies",AI Safety,Book,Nick Bostrom,2014,"https://en.wikipedia.org/wiki/Superintelligence:_Paths,_Dangers,_Strategies","A 2014 book by Oxford philosopher Nick Bostrom analyzing the potential trajectories, dangers, and strategic challenges posed by the development of machine superintelligence.",Foundational text arguing that superintelligent AI could pose existential risk if not aligned with human values.
653,International AI Safety Report,AI Safety,Report,UK AI Safety Institute,2024,https://www.gov.uk/government/publications/international-ai-safety-report,A 2024 international report led by Yoshua Bengio and a global panel of experts assessing the current state of AI safety risks and recommending governance approaches.,"Expert consensus report on AI risks and safety measures, commissioned by the UK AI Safety Summit."
654,Zvi Mowshowitz AI Newsletter,AI Safety,Substack/Newsletter,Zvi Mowshowitz,2024,https://thezvi.substack.com/,"A weekly AI analysis newsletter by Zvi Mowshowitz (also known as ''Don''t Worry About the Vase'') providing detailed commentary on AI developments, policy, and safety research.",Comprehensive weekly analysis of AI developments with focus on safety and existential risk.
656,Life 3.0: Being Human in the Age of AI,AI Safety,Book,Max Tegmark,2017,https://en.wikipedia.org/wiki/Life_3.0,A 2017 book by MIT physicist Max Tegmark exploring how artificial intelligence will transform life on Earth and examining the future trajectory of intelligent life in the universe.,Humanity must proactively engage in AI safety research and develop wise governance strategies to ensure advanced AI remains beneficial and aligned with human values.
663,Highlights of the 2023 Executive Order on Artificial ...,AI Safety,Report,Congressional Research Service,2023,https://www.congress.gov/crs-product/R47843,"Summary article highlighting the key provisions of President Biden''s 2023 executive order on artificial intelligence, which established new safety standards, equity protections, and innovation support measures for AI development.","This Congressional Research Service report summarizes the 2023 Executive Order establishing a comprehensive government-wide approach to ensure safe, secure, and trustworthy AI development and deployment."
666,Foundational Challenges in Assuring Alignment and Safety of Large Language Models,AI Safety,Academic Paper,Usman Anwar et al.,2024,https://arxiv.org/abs/2404.09932,Academic paper examining the foundational technical and conceptual challenges in ensuring that large language models are aligned with human values and operate safely.,"Comprehensive survey of fundamental open problems in LLM alignment, including specification, assurance, and societal impacts."
669,"Alignment Remains a Hard, Unsolved Problem",AI Safety,Essay,Paul Christiano,2025,https://www.alignmentforum.org/posts/unsolved-alignment,Essay or paper arguing that AI alignment — ensuring AI systems reliably act in accordance with human intentions and values — remains a fundamentally difficult and unsolved problem despite recent progress.,"Argues that despite recent progress, the fundamental problem of ensuring AI systems reliably pursue human values remains unsolved."
671,US Senate Hearing On 'Examining the Harm of AI Chatbots',AI Safety,Report,U.S. Senate,2025,https://techpolicy.press/transcript-us-senate-hearing-on-examining-the-harm-of-ai-chatbots,"Official U.S. Senate hearing titled ''Examining the Harm of AI Chatbots,'' investigating the potential risks and harms posed by AI chatbot technologies to consumers and society.","AI chatbots pose significant safety risks, particularly to children, as demonstrated by documented cases of self-harm and exploitation, necessitating congressional regulatory action."
675,Alignment Pretraining: AI Discourse Causes Self-Fulfilling (Mis)alignment,AI Safety,Academic Paper,Geodesic Research,2026,https://geodesic.ai/alignment-pretraining,Research paper investigating how public discourse about AI alignment and safety can become self-fulfilling — shaping AI behavior during pretraining in ways that either help or hinder actual alignment outcomes.,How AI models trained on alignment discourse may develop self-fulfilling beliefs about their own alignment or misalignment.
676,Values in the Wild,AI Safety,Report,Anthropic,2025,https://www.anthropic.com/research/values-in-the-wild,"Research paper studying human values as they manifest ''in the wild'' — examining how values are embedded in, expressed through, and shaped by real-world AI systems and their deployment contexts.","Empirical study of how Claude's values manifest in real-world usage, examining the gap between intended behavior and actual deployment."
677,The Persona Selection Model: Why AI Assistants Might Behave Like Humans,AI Safety,Academic Paper,"Samuel Marks, Alex Lindsey, Chris Olah",2026,https://transformer-circuits.pub/2026/persona-selection,"Research paper proposing a ''persona selection model'' to explain why AI assistants may adopt human-like behavioral patterns, exploring the mechanisms by which LLMs select and enact particular personas.","Proposes that LLMs select from a repertoire of learned personas rather than having a single fixed character, with implications for alignment."
678,The Assistant Axis: Situating and Stabilizing the Character of LLMs,AI Safety,Academic Paper,Samuel Marks et al.,2026,https://arxiv.org/abs/2601.assistant-axis,"Research paper on methods for situating and stabilizing the character or persona of large language models along an ''assistant axis,'' addressing consistency and reliability in LLM behavior.",Framework for understanding and stabilizing the character dimensions of language model assistants.
685,Gradual Disempowerment,AI Safety,,MISSING - actual author unknown from provided data,2025,https://gradual-disempowerment.ai/,"Research paper examining how AI systems could gradually erode human control and autonomy over time, even without a single catastrophic event.","AI systems may gradually erode human control and decision-making authority through incremental shifts in power, raising concerns about long-term human agency."
686,AI Safety Index 2025: How Frontier AI Companies | Libertify,AI Safety,Report,Libertify,2025,https://www.libertify.com/interactive-library/ai-safety-index-2025-frontier-companies-ranking/,"Coverage by Libertify of the Future of Life Institute''s 2025 AI Safety Index, which benchmarks how frontier AI companies manage safety practices.","The AI Safety Index 2025 benchmarks frontier AI companies on safety practices and risk management, showing significant variation in governance maturity."
687,2025 AI Safety Index - Future of Life Institute,AI Safety,Report,Future of Life Institute,2025,https://futureoflife.org/ai-safety-index-summer-2025,"The Future of Life Institute''s 2025 AI Safety Index, a benchmarking report assessing how leading AI companies address safety in their development practices.","While leading AI companies like Anthropic and OpenAI are advancing safety assessments and transparency measures, the broader AI industry lacks comprehensive safety standards and preparedness frameworks."
688,AI Safety Index Winter 2025 - Future of Life Institute,AI Safety,Report,Future of Life Institute,2025,https://futureoflife.org/ai-safety-index-winter-2025/,"The Winter 2025 edition of the Future of Life Institute''s AI Safety Index, evaluating frontier AI companies'' safety commitments and practices.","The Winter 2025 AI Safety Index reveals substantial variations in safety practices among leading AI companies, with Anthropic, OpenAI, and Google demonstrating stronger safety governance than industry peers."
694,Senate Judiciary written testimony - Helen Toner 2024-09-17,AI Safety,Report,Helen Toner,2024,https://www.judiciary.senate.gov/imo/media/doc/2024-09-17_pm_-_testimony_-_toner.pdf,"Written testimony by Helen Toner, former OpenAI board member, before the Senate Judiciary Committee in September 2024, offering an insider''s perspective on AI governance and safety.","AI companies developing toward artificial general intelligence view AGI as a serious and imminent goal, raising urgent policy questions about oversight and safety measures needed before advanced AI systems are deployed."
701,Transcript: Senate Judiciary Subcommittee Hosts Hearing on Oversight of AI: Insiders’ Perspectives | TechPolicy.Press,AI Safety,Report,Senate Judiciary Subcommittee,2024,https://techpolicy.press/transcript-senate-judiciary-subcommittee-hosts-hearing-on-oversight-of-ai-insiders-perspectives,"Transcript of a Senate Judiciary Subcommittee hearing featuring insider perspectives on AI oversight, published by TechPolicy.Press.",Industry insiders testify before the Senate Judiciary Subcommittee on the necessity for enforceable AI regulations and corporate accountability measures to balance innovation with safety and public interest.
703,2025 Q4 Update from our Frontier AI Risk Monitoring Platform,AI Safety,Substack/Newsletter,AI Safety China,2025,https://aisafetychina.substack.com/p/2025-q4-update-from-our-frontier,"Quarterly update (Q4 2025) from a frontier AI risk monitoring platform, reporting on emerging risks and safety developments at leading AI labs.","AI Safety China's Q4 2025 frontier AI monitoring platform reports stabilized overall risk levels across frontier models, though certain model families continue to present elevated risks requiring targeted mitigation."
1802,Core Views on AI Safety,AI Safety,Essay,Anthropic,2023,https://www.anthropic.com/news/core-views-on-ai-safety,"Published by Anthropic in March 2023 as a company-wide statement of AI safety views and strategy. Frequently cited in AI governance discussions as representative of the 'responsible scaling' / 'pragmatic safety' frame, in contrast to pause-oriented positions. Often referenced alongside Anthropic's Responsible Scaling Policy (RSP).","Anthropic's foundational public statement of its AI safety philosophy: frontier AI could be transformative and risky, safety research must scale alongside capabilities, empirical work on current models generalizes to future risks, and a mix of safety research and responsible scaling is necessary."
1803,Constitutional AI: Harmlessness from AI Feedback,AI Safety,Academic Paper,"Yuntao Bai, Saurav Kadavath, Sandipan Kundu, Amanda Askell, Jackson Kernion, Andy Jones, Anna Chen, Anna Goldie, Azalia Mirhoseini, Cameron McKinnon, et al. (Anthropic)",2022,https://arxiv.org/abs/2212.08073,"Foundational Anthropic paper (December 2022) that introduced Constitutional AI, the training approach that underlies the Claude models' safety behavior. Widely cited in AI governance discussions around alignment techniques, scalable oversight, and alternatives to pure-human-feedback training.","Introduces Constitutional AI (CAI): a method to train a harmless AI assistant using AI-generated feedback guided by a set of written principles ('constitution'), instead of relying primarily on human-labeled harmlessness feedback. Builds on RLHF but replaces human preference labels for harmfulness with AI self-critique and revision."
1805,Training Language Models to Follow Instructions with Human Feedback,AI Safety,Academic Paper,"Long Ouyang, Jeff Wu, Xu Jiang, Diogo Almeida, Carroll L. Wainwright, Pamela Mishkin, Chong Zhang, Sandhini Agarwal, Katarina Slama, Alex Ray, John Schulman, Jacob Hilton, Fraser Kelton, Luke Miller, Maddie Simens, Amanda Askell, Peter Welinder, Paul Christiano, Jan Leike, Ryan Lowe (OpenAI)",2022,https://arxiv.org/abs/2203.02155,"OpenAI's foundational 2022 RLHF paper (the 'InstructGPT' paper), which underpins the alignment approach in ChatGPT and all subsequent commercial LLMs. Frequently cited in AI policy discussions about post-training interventions, alignment research, and the limits of current safety techniques.","Shows that fine-tuning language models with reinforcement learning from human feedback (RLHF) produces outputs humans prefer and rate as more truthful and less harmful than base models, even when the RLHF model is 100x smaller. Established RLHF as the dominant post-training alignment technique for commercial LLMs (used in ChatGPT, GPT-4, Claude, Gemini)."
651,The Simple Macroeconomics of AI,Labor & Economy,Academic Paper,Daron Acemoglu,2024,https://www.nber.org/papers/w32487,"An economics paper analyzing the macroeconomic implications of AI adoption, including effects on productivity, labor markets, and economic growth.","AI will have modest economic effects in the near term, with GDP growth of only 0.5-1.5% over 10 years."
689,Canaries in the Coal Mine? Six Facts about the Recent Employment Effects of Artificial Intelligence,Labor & Economy,Report,"Erik Brynjolfsson, Danielle Li, Lindsey Raymond, Tom Sheehy",2025,https://digitaleconomy.stanford.edu/wp-content/uploads/2025/11/CanariesintheCoalMine_Nov25.pdf,"Economics research paper presenting six key findings on the early employment effects of artificial intelligence, framing affected workers as ''canaries in the coal mine'' for broader labor market disruption.","Analysis of recent AI employment effects shows generative AI adoption has disproportionately impacted entry-level workers aged 22-25 in AI-exposed occupations, with measurable wage and employment declines."
690,MIT study finds AI can already replace 11.7% of U.S. ...,Labor & Economy,News Article,CNBC,2025,https://www.cnbc.com/2025/11/26/mit-study-finds-ai-can-already-replace-11point7percent-of-us-workforce.html,News article covering an MIT study finding that AI technology is already capable of replacing approximately 11.7% of tasks in the U.S. workforce.,"An MIT study estimates that AI can currently replace approximately 11.7% of the U.S. workforce (roughly 18 million workers), representing approximately $1.2 trillion in annual wage exposure."
704,Labor Demand in the Age of Generative AI : Early Evidence from the U.S. Job Posting Data,Labor & Economy,Academic Paper,"David Autor, Simon Jäger, David Sands, Pascaul Restrepo",2025,https://ideas.repec.org/p/wbk/wbrwps/11263.html,"Economics research paper analyzing how generative AI is affecting U.S. labor demand, using job posting data to identify early shifts in employer hiring patterns.",U.S. job posting data reveals that generative AI tools like ChatGPT have led to significant declines in labor demand for certain occupational categories.
664,FACT SHEET: Biden-Harris Administration Executive Order Directs DHS to Lead the Responsible Development of Artificial Intelligence | Homeland Security,National Security,Report,U.S. Department of Homeland Security,2023,https://www.dhs.gov/archive/news/2023/10/30/fact-sheet-biden-harris-administration-executive-order-directs-dhs-lead-responsible,"Department of Homeland Security fact sheet detailing how the Biden-Harris Administration''s AI executive order directs DHS to lead responsible AI development, including safeguards for critical infrastructure and border security.",The Biden-Harris Administration's executive order designates DHS as the lead agency for overseeing the responsible development and deployment of artificial intelligence across federal agencies.
665,Biden signs U.S.' first AI executive order to create safeguards,National Security,News Article,CNBC,2023,https://www.cnbc.com/2023/10/30/biden-unveils-us-governments-first-ever-ai-executive-order.html,"News article covering President Biden''s signing of the first comprehensive U.S. executive order on artificial intelligence, which established safeguards around AI safety, security, and trustworthiness.","President Biden signed the U.S.'s first comprehensive AI executive order, establishing binding safety, equity, privacy, and security standards for AI development and deployment."
551,Stochastic Parrots Paper,Philosophy/Ethics,Essay,"Emily Bender, Timnit Gebru, et al.",2021,https://dl.acm.org/doi/10.1145/3442188.3445922,TEST DATA — Controversial paper that led to Gebru leaving Google; foundational for AI ethics discourse,"Large language models pose environmental, bias, and misinformation risks that are inadequately addressed"
695,Machines of Loving Grace,Philosophy/Ethics,Essay,Dario Amodei,2024,https://darioamodei.com/machines-of-loving-grace,"Essay by Anthropic CEO Dario Amodei (October 2024) exploring the potential positive impacts of advanced AI on science, health, economic development, and governance.","AI development offers transformative benefits like disease curing and poverty reduction, but realizing this optimistic vision requires deliberate focus on safety and alignment alongside capability advances."
705,Transcript: Joint Hearing on “Artificial Intelligence and Its Potential to Fuel Economic Growth and Improve Governance” | TechPolicy.Press,Policy Proposal,Report,U.S. Congress,2024,https://techpolicy.press/transcript-joint-hearing-on-artificial-intelligence-and-its-potential-to-fuel-economic-growth-and-improve-governance,"Transcript of a joint congressional hearing on artificial intelligence''s potential to fuel economic growth and improve governance, published by TechPolicy.Press.",A congressional joint hearing examining artificial intelligence's potential to drive economic growth and improve governance through expert testimony on AI applications.
1804,Attention Is All You Need,Technical,Academic Paper,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Łukasz Kaiser, Illia Polosukhin (Google)",2017,https://arxiv.org/abs/1706.03762,"2017 Google paper at NeurIPS that introduced the Transformer architecture — the foundation of GPT, BERT, Claude, Gemini, LLaMA, and essentially every frontier language model. Of the eight authors, Aidan N. Gomez later co-founded Cohere. The paper is routinely invoked in AI policy discussions to ground claims about the lineage and maturity of current AI systems.","Introduces the Transformer, a neural network architecture based solely on attention mechanisms, dispensing with recurrence and convolutions. Achieves state-of-the-art translation quality while being more parallelizable and requiring significantly less training time. The architectural foundation of nearly all modern large language models."
